drug_name_norm	chembl_id	drug_class	drug_class_label	n_sources	sources	max_phase	is_approved	hnscc_indication	cmap_score	n_de_genes	n_up_genes	n_down_genes	de_genes	primary_target	has_pi_evidence	s_pi_stat	s_clinical	s_cmap	s_pathway	s_network	s_evidence	composite_score	bonus	final_score	ct_total_trials	ct_hnscc_trials	ct_active_trials	ct_phases_hnscc	pubmed_total	pubmed_hnscc	evidence_score
AZACITIDINE	CHEMBL1489	B	B: Approved other cancer	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	True	False	-0.487937861706096	5	2	3	ALDH1A1|CDA|DNMT1|HBB|TAGLN	ALDH1A1	True	0.628454803890886	1.0	0.487937861706096	0.8	0.323904624966557	0	0.668761401471947	0.03	0.698761401471947	1242	2	0	PHASE1:2	2843	11	0.266
AMIVANTAMAB	CHEMBL4297774	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	True	False		1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.0	1.0	0.314801087287104	0	0.706017369887393	0.0	0.706017369887393	51	1	0	PHASE1:1	328	6	0.136
CEDAZURIDINE	CHEMBL3237547	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	True	False		1	1	0	CDA	CDA	True	0.740746350489473	1.0	0.0	1.0	0.107241379310345	0	0.662384747092341	0.0	0.662384747092341	78	1	0	PHASE1:1	77	0	0.1
ICOTINIB	CHEMBL2087361	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	True	False		1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.0	1.0	0.314801087287104	0	0.706017369887393	0.0	0.706017369887393	103	0	0	none	431	16	0.096
CETUXIMAB SAROTALOCAN	CHEMBL4298088	B	B: Approved other cancer	2	DGIdb|OpenTargets	4	True	False		1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.0	1.0	0.314801087287104	0	0.706017369887393	0.0	0.706017369887393	3	0	0	none	16	14	0.084
NECITUMUMAB	CHEMBL1743047	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	True	False		1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.0	1.0	0.314801087287104	0	0.706017369887393	0.0	0.706017369887393	23	0	0	none	106	12	0.072
CARFILZOMIB	CHEMBL451887	B	B: Approved other cancer	3	DGIdb|L2S2|OpenTargets	4	True	False	-0.276923858803903	15	15	0	PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB8|PSMB9|PSMD10	PSMA1	True	0.698581947364364	1.0	0.276923858803903	0.733333333333333	0.210716739532044	0	0.648732675755942	0.03	0.678732675755942	270	0	0	none	1780	12	0.072
NERATINIB	CHEMBL180022	B	B: Approved other cancer	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	True	False	-0.470885689152319	1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.470885689152319	1.0	0.314801087287104	0	0.753105938802625	0.03	0.783105938802625	100	0	0	none	676	3	0.018
TRANYLCYPROMINE	CHEMBL3989843	B	B: Approved other cancer	3	DGIdb|L2S2|OpenTargets	4	True	False	-0.541858945250259	1	0	1	MAOA	MAOA	True	0.537283229179549	1.0	0.541858945250259	1.0	0.14345461283488	0	0.640617378122078	0.03	0.670617378122078	36	0	0	none	1614	3	0.018
DEPATUXIZUMAB MAFODOTIN	CHEMBL3707277	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	False	False		1	1	0	EGFR	EGFR	True	0.771993016985817	0.75	0.0	1.0	0.314801087287104	0	0.656017369887393	0.0	0.656017369887393	8	0	0	none	32	2	0.012
AUMOLERTINIB	CHEMBL4761468	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	True	False		1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.0	1.0	0.314801087287104	0	0.706017369887393	0.0	0.706017369887393	75	0	0	none	97	2	0.012
MOBOCERTINIB	CHEMBL4650319	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	True	False		1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.0	1.0	0.314801087287104	0	0.706017369887393	0.0	0.706017369887393	15	0	0	none	114	2	0.012
LAZERTINIB	CHEMBL4558324	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	True	False		1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.0	1.0	0.314801087287104	0	0.706017369887393	0.0	0.706017369887393	44	0	0	none	160	1	0.006
ROCILETINIB	CHEMBL3545308	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	True	False		1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.0	1.0	0.314801087287104	0	0.706017369887393	0.0	0.706017369887393	8	0	0	none	103	1	0.006
OLMUTINIB	CHEMBL3786343	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	True	False		1	1	0	EGFR	EGFR	True	0.771993016985817	1.0	0.0	1.0	0.314801087287104	0	0.706017369887393	0.0	0.706017369887393	7	0	0	none	47	0	0.0
DEFIBROTIDE	CHEMBL2108396	C	C: Approved non-oncology	3	ChEMBL|DGIdb|OpenTargets	4	True	False		2	1	1	F2|SERPINE1	F2	True	0.68794999057697	1.0	0.0	1.0	0.192772800123107	0	0.654095916249254	0.01	0.664095916249254	25	0	0	none	643	0	0.0
PABINAFUSP ALFA	CHEMBL4594565	C	C: Approved non-oncology	2	DGIdb|OpenTargets	4	True	False		1	1	0	TFRC	TFRC	True	0.706661282530246	1.0	0.0	1.0	0.129357420504537	0	0.652068126087779	0.01	0.662068126087779	0	0	0	none	13	0	0.0
TENATUMOMAB	CHEMBL1743077	D	D: Not approved / Experimental	2	DGIdb|OpenTargets	3	False	False		1	1	0	TNC	TNC	True	0.865556846699835	0.75	0.0	1.0	0.107241379310345	0	0.662308945576486	0.0	0.662308945576486	5	0	0	none	4	0	0.0
MITAPIVAT	CHEMBL4299940	C	C: Approved non-oncology	3	ChEMBL|DGIdb|OpenTargets	4	True	False		1	1	0	PKLR	PKLR	True	0.674283559464797	1.0	0.0	1.0	0.189412283683328	0	0.648125266338418	0.01	0.658125266338418	29	0	0	none	82	0	0.0
ABIVERTINIB	CHEMBL4297865	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	False	False		1	1	0	EGFR	EGFR	True	0.771993016985817	0.75	0.0	1.0	0.314801087287104	0	0.656017369887393	0.0	0.656017369887393	13	0	0	none	19	0	0.0
CANERTINIB DIHYDROCHLORIDE	CHEMBL545315	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	False	False		1	1	0	EGFR	EGFR	True	0.771993016985817	0.75	0.0	1.0	0.314801087287104	0	0.656017369887393	0.0	0.656017369887393	3	0	0	none	6	0	0.0
CLN-081	CHEMBL4650281	D	D: Not approved / Experimental	2	ChEMBL|OpenTargets	3	False	False		1	1	0	EGFR	EGFR	True	0.771993016985817	0.75	0.0	1.0	0.314801087287104	0	0.656017369887393	0.0	0.656017369887393	5	0	0	none	6	0	0.0
