gene_symbol	uniprot_id	entry_name	symbol_org	entrez_id	logFC_TVsS	avg_intensity_TVsS	t_stat_TVsS	B_stat_TVsS	P.Value_TVsS	adj.P.Val_TVsS	sig.FDR_TVsS	M1S	M1T	M2S	M2T	M3S	M3T	M4S	M4T	M5S	M5T	M6S	M6T	M7S	M7T	M8S	M8T	M9S	M9T	M10S	M10T	gene_upper	in_cosmic_cgc	in_intogen	in_ncg7	in_hnscc_lit	n_driver_sources	is_cancer_driver
EGFR	P00533	EGFR_HUMAN	EGFR	1956.0	2.230303179486	11.4938850504211	4.19498073176189	0.213401789803262	0.0003378162164158	0.0068367297758575	1	10.29440474	13.78661352	10.33231838	10.87406138	10.21204561	9.735140469	10.95778861	11.06071909	9.986557535	15.10052005	10.41626486	13.50263672	9.799042274	13.41526111	10.91193003	13.78600536	10.37087243	12.72411585	11.11751794		EGFR	False	False	True	True	2	True
GNA11	P29992	GNA11_HUMAN	GNA11	2767.0	-1.74891454455808	9.09958128336364	-3.95672202100686	-0.767163411020569	0.0012183935778842	0.0141870780923442	-1	10.90204994	8.55951787		7.782001427	9.060371651		9.457015642	8.742959081	9.960343458		9.733522153			7.378211649	9.455342982				9.064058264		GNA11	False	False	True	False	1	True
