drug_name_norm	sources	n_sources	chembl_id	max_phase	is_approved	hnscc_indication	has_cancer_indication	cmap_score	n_de_genes	de_genes	n_up_genes	n_down_genes	max_interaction_score	drug_class	drug_class_label
PLITIDEPSIN	ChEMBL|DGIdb|OpenTargets	3	CHEMBL451930	4	TRUE	FALSE	TRUE	NA	1	EEF1A2	0	1	26.1018992794428	B	B: Approved other cancer
VANDETANIB	DGIdb|L2S2|OpenTargets	3	CHEMBL24828	4	TRUE	FALSE	TRUE	-0.476574533589558	1	EGFR	1	0	0.1078203454431	B	B: Approved other cancer
LORLATINIB	DGIdb|OpenTargets	2	CHEMBL3286830	4	TRUE	FALSE	TRUE	NA	2	EML4|ENO1	2	0	4.64033764967871	B	B: Approved other cancer
ALECTINIB	DGIdb|OpenTargets	2	CHEMBL1738797	4	TRUE	FALSE	TRUE	NA	1	EML4	1	0	8.58462465190562	B	B: Approved other cancer
ALECTINIB HYDROCHLORIDE	DGIdb|OpenTargets	2	CHEMBL3707320	4	TRUE	FALSE	TRUE	NA	1	EML4	1	0	0.386694804139893	B	B: Approved other cancer
CERITINIB	DGIdb|OpenTargets	2	CHEMBL2403108	4	TRUE	FALSE	TRUE	NA	1	EML4	1	0	2.45664934394755	B	B: Approved other cancer
FORODESINE	DGIdb|OpenTargets	2	CHEMBL218291	4	TRUE	FALSE	TRUE	NA	1	PNP	1	0	8.70063309314759	B	B: Approved other cancer
LAPATINIB DITOSYLATE	ChEMBL|OpenTargets	2	CHEMBL1201179	4	TRUE	FALSE	TRUE	NA	1	EGFR	1	0	NA	B	B: Approved other cancer
MYCOPHENOLATE MOFETIL	DGIdb|OpenTargets	2	CHEMBL1456	4	TRUE	FALSE	TRUE	NA	1	IMPDH2	0	1	1.30509496397214	B	B: Approved other cancer
PHENELZINE SULFATE	DGIdb|OpenTargets	2	CHEMBL1200895	4	TRUE	FALSE	TRUE	NA	1	MAOA	0	1	0.191222705343903	B	B: Approved other cancer
ACETAZOLAMIDE	ChEMBL|DGIdb|L2S2|OpenTargets	4	CHEMBL20	4	TRUE	FALSE	FALSE	-0.456079595395974	3	CA2|CA3|MMP2	1	2	1.86442137710305	C	C: Approved non-oncology
ARGATROBAN	ChEMBL|DGIdb|L2S2|OpenTargets	4	CHEMBL1166	4	TRUE	FALSE	FALSE	-0.328444138955188	1	F2	0	1	1.33855893740732	C	C: Approved non-oncology
BIVALIRUDIN	ChEMBL|DGIdb|L2S2|OpenTargets	4	CHEMBL5314348	4	TRUE	FALSE	FALSE	-0.33413957503312	1	F2	0	1	2.67711787481464	C	C: Approved non-oncology
BRINZOLAMIDE	ChEMBL|DGIdb|L2S2|OpenTargets	4	CHEMBL220491	4	TRUE	FALSE	FALSE	-0.0745658451541272	1	CA2	0	1	1.50587880458324	C	C: Approved non-oncology
METHAZOLAMIDE	ChEMBL|DGIdb|L2S2|OpenTargets	4	CHEMBL19	4	TRUE	FALSE	FALSE	-0.387558628287542	1	CA2	0	1	0.200783840611098	C	C: Approved non-oncology
TOPIRAMATE	ChEMBL|DGIdb|L2S2|OpenTargets	4	CHEMBL220492	4	TRUE	FALSE	FALSE	-0.467827347469401	1	CA2	0	1	0.136898073143931	C	C: Approved non-oncology
METFORMIN	DGIdb|L2S2|OpenTargets	3	CHEMBL1431	4	TRUE	FALSE	FALSE	-0.436310919883868	20	EGFR|NDUFA10|NDUFA13|NDUFA2|NDUFA5|NDUFA8|NDUFA9|NDUFB1|NDUFB10|NDUFB11|NDUFB4|NDUFB7|NDUFB9|NDUFS1|NDUFS2|NDUFS3|NDUFS6|NDUFS7|NDUFV1|NDUFV2	1	19	0.00663158010148444	C	C: Approved non-oncology
BEPRIDIL	DGIdb|L2S2|OpenTargets	3	CHEMBL1008	4	TRUE	FALSE	FALSE	-0.201759450108968	2	ATP1A1|CACNA2D1	0	2	0.580042206209839	C	C: Approved non-oncology
DIGITOXIN	DGIdb|L2S2|OpenTargets	3	CHEMBL254219	4	TRUE	FALSE	FALSE	-0.105311286971825	2	ATP1A1|ATP1B1	0	2	0.5495136690409	C	C: Approved non-oncology
PENTOXIFYLLINE	DGIdb|L2S2|OpenTargets	3	CHEMBL628	4	TRUE	FALSE	FALSE	-0.526530601861825	2	PDE6D|VWF	1	1	0.745768550841222	C	C: Approved non-oncology
VALPROIC ACID	ChEMBL|DGIdb|OpenTargets	3	CHEMBL109	4	TRUE	FALSE	FALSE	NA	2	ALDH5A1|OGDH	0	2	0.915856115068167	C	C: Approved non-oncology
ACETAZOLAMIDE SODIUM	ChEMBL|DGIdb|OpenTargets	3	CHEMBL1200814	4	TRUE	FALSE	FALSE	NA	1	CA2	0	1	0.501959601527746	C	C: Approved non-oncology
ADUCANUMAB	ChEMBL|DGIdb|OpenTargets	3	CHEMBL3039540	4	TRUE	FALSE	FALSE	NA	1	APP	1	0	3.1638665793264	C	C: Approved non-oncology
ANTITHROMBIN ALFA	ChEMBL|DGIdb|OpenTargets	3	CHEMBL1201554	4	TRUE	FALSE	FALSE	NA	1	F2	0	1	0.297457541646071	C	C: Approved non-oncology
BETIBEGLOGENE AUTOTEMCEL	ChEMBL|DGIdb|OpenTargets	3	CHEMBL4594311	4	TRUE	FALSE	FALSE	NA	1	HBB	0	1	1.80013098478916	C	C: Approved non-oncology
CAPLACIZUMAB	ChEMBL|DGIdb|OpenTargets	3	CHEMBL2109624	4	TRUE	FALSE	FALSE	NA	1	VWF	0	1	7.83056978383283	C	C: Approved non-oncology
DABIGATRAN	ChEMBL|DGIdb|L2S2	3	CHEMBL48361	3	TRUE	FALSE	FALSE	-0.0558813548070412	1	F2	0	1	0.594915083292143	C	C: Approved non-oncology
DABIGATRAN ETEXILATE MESYLATE	ChEMBL|DGIdb|OpenTargets	3	CHEMBL1615369	4	TRUE	FALSE	FALSE	NA	1	F2	0	1	1.33855893740732	C	C: Approved non-oncology
DESIRUDIN	ChEMBL|DGIdb|OpenTargets	3	CHEMBL1201662	4	TRUE	FALSE	FALSE	NA	1	F2	0	1	1.33855893740732	C	C: Approved non-oncology
DIPYRIDAMOLE	DGIdb|L2S2|OpenTargets	3	CHEMBL932	4	TRUE	FALSE	FALSE	-0.374219678553792	1	PDE6D	1	0	0.466105344275764	C	C: Approved non-oncology
DIVALPROEX SODIUM	ChEMBL|DGIdb|OpenTargets	3	CHEMBL2105613	4	TRUE	FALSE	FALSE	NA	1	ALDH5A1	0	1	3.72884275420611	C	C: Approved non-oncology
DONANEMAB	ChEMBL|DGIdb|OpenTargets	3	CHEMBL4297245	4	TRUE	FALSE	FALSE	NA	1	APP	1	0	0.790966644831599	C	C: Approved non-oncology
DORZOLAMIDE HYDROCHLORIDE	ChEMBL|DGIdb|OpenTargets	3	CHEMBL1201162	4	TRUE	FALSE	FALSE	NA	1	CA2	0	1	2.00783840611098	C	C: Approved non-oncology
DOXYCYCLINE	ChEMBL|L2S2|OpenTargets	3	CHEMBL1200699	4	TRUE	FALSE	FALSE	-0.217713626074957	1	MMP8	1	0	NA	C	C: Approved non-oncology
DROTRECOGIN ALFA (ACTIVATED)	ChEMBL|DGIdb|OpenTargets	3	CHEMBL2109065	4	TRUE	FALSE	FALSE	NA	1	F5	0	1	0.283716296515682	C	C: Approved non-oncology
FOMEPIZOLE	DGIdb|L2S2|OpenTargets	3	CHEMBL1308	4	TRUE	FALSE	FALSE	-0.383030166137063	1	ADH1B	0	1	13.0509496397214	C	C: Approved non-oncology
GABAPENTIN	DGIdb|L2S2|OpenTargets	3	CHEMBL940	4	TRUE	FALSE	FALSE	-0.312863476354403	1	CACNA2D1	0	1	0.186442137710305	C	C: Approved non-oncology
IPTACOPAN	ChEMBL|DGIdb|OpenTargets	3	CHEMBL4594448	4	TRUE	FALSE	FALSE	NA	1	CFB	0	1	17.4012661862952	C	C: Approved non-oncology
ISOCARBOXAZID	DGIdb|L2S2|OpenTargets	3	CHEMBL1201168	4	TRUE	FALSE	FALSE	-0.0194986517946504	1	MAOA	0	1	1.78474524987643	C	C: Approved non-oncology
LECANEMAB	ChEMBL|DGIdb|OpenTargets	3	CHEMBL3833321	4	TRUE	FALSE	FALSE	NA	1	APP	1	0	1.5819332896632	C	C: Approved non-oncology
MITAPIVAT	ChEMBL|DGIdb|OpenTargets	3	CHEMBL4299940	4	TRUE	FALSE	FALSE	NA	1	PKLR	1	0	34.8025323725903	C	C: Approved non-oncology
MITAPIVAT SULFATE	ChEMBL|DGIdb|OpenTargets	3	CHEMBL4297223	4	TRUE	FALSE	FALSE	NA	1	PKLR	1	0	17.4012661862952	C	C: Approved non-oncology
MOCLOBEMIDE	ChEMBL|DGIdb|OpenTargets	3	CHEMBL86304	4	TRUE	FALSE	FALSE	NA	1	MAOA	0	1	1.60627072488879	C	C: Approved non-oncology
NERATINIB	ChEMBL|DGIdb|L2S2	3	CHEMBL180022	4	TRUE	FALSE	FALSE	-0.470885689152319	1	EGFR	1	0	0.36252637888115	C	C: Approved non-oncology
POZELIMAB	ChEMBL|DGIdb|OpenTargets	3	CHEMBL4298086	4	TRUE	FALSE	FALSE	NA	1	C5	0	1	3.26273740993034	C	C: Approved non-oncology
RAVULIZUMAB	ChEMBL|DGIdb|OpenTargets	3	CHEMBL3989986	4	TRUE	FALSE	FALSE	NA	1	C5	0	1	0.36252637888115	C	C: Approved non-oncology
TRANYLCYPROMINE	DGIdb|L2S2|OpenTargets	3	CHEMBL3989843	4	TRUE	FALSE	FALSE	-0.541858945250259	1	MAOA	0	1	0.764890821375612	C	C: Approved non-oncology
VONICOG ALFA	ChEMBL|DGIdb|OpenTargets	3	CHEMBL2107873	4	TRUE	FALSE	FALSE	NA	1	VWF	0	1	2.61018992794428	C	C: Approved non-oncology
ZILUCOPLAN SODIUM	ChEMBL|DGIdb|OpenTargets	3	CHEMBL5315048	4	TRUE	FALSE	FALSE	NA	1	C5	0	1	3.26273740993034	C	C: Approved non-oncology
METFORMIN HYDROCHLORIDE	DGIdb|OpenTargets	2	CHEMBL1703	4	TRUE	FALSE	FALSE	NA	20	NDUFA10|NDUFA13|NDUFA2|NDUFA4|NDUFA5|NDUFA8|NDUFA9|NDUFB1|NDUFB10|NDUFB11|NDUFB4|NDUFB7|NDUFB9|NDUFS1|NDUFS2|NDUFS3|NDUFS6|NDUFS7|NDUFV1|NDUFV2	0	20	0.310736896183842	C	C: Approved non-oncology
BORTEZOMIB	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-1	17	CTSL|F2|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB8|PSMB9|PSMD10	16	1	0.460621751990166	C	C: Approved non-oncology
CARFILZOMIB	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.276923858803903	15	PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB8|PSMB9|PSMD10	15	0	0.543789568321724	C	C: Approved non-oncology
CISPLATIN	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.286469392599799	10	ACTL6A|ALDH1A1|APEX1|ASS1|CASP3|CBX1|DNMT1|EGFR|HSPA8|OSGEP	8	2	0.355127881352963	C	C: Approved non-oncology
OCRIPLASMIN	DGIdb|OpenTargets	2	CHEMBL2095222	4	TRUE	FALSE	FALSE	NA	10	COL3A1|COL4A1|COL4A2|COL5A1|COL5A2|LAMA3|LAMA4|LAMB1|LAMB3|LAMC2	10	0	1.37378417260225	C	C: Approved non-oncology
CELECOXIB	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.240797169983842	7	ATP2A1|ATP2A2|ATP2A3|CACNA2D1|CASP3|CPT2|MMP9	2	5	0.155832234504136	C	C: Approved non-oncology
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	DGIdb|OpenTargets	2	CHEMBL2108709	4	TRUE	FALSE	FALSE	NA	6	COL3A1|COL4A1|COL4A2|COL5A1|COL5A2|MMP8	6	0	2.79663206565458	C	C: Approved non-oncology
FLUOROURACIL	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.368313167857354	6	APEX1|EGFR|HBB|HSPA5|OSGEP|TPT1	4	2	0.900065492394578	C	C: Approved non-oncology
CLOZAPINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.443997549050796	5	A2M|ALDH1A1|ALDH2|CBX1|SERPINA3	1	4	0.0116996410934302	C	C: Approved non-oncology
DEXAMETHASONE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.480129387893251	5	HSPA8|KRT19|NR5A1|S100A10|SERPINE1	3	2	0.614162335986889	C	C: Approved non-oncology
LAMIVUDINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.426564407942221	5	APOA1|CMPK1|NME1|NME2|PCYT1A	3	2	2.1751582732869	C	C: Approved non-oncology
RIBAVIRIN	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.299669646898297	5	ALDH1A1|EGFR|HLA-A|KRT18|VWF	2	3	0.686892086301125	C	C: Approved non-oncology
ASPIRIN	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.334286417189237	4	AGT|CDH13|CPT2|MYOM2	0	4	0.5865595343695	C	C: Approved non-oncology
DOPAMINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.30800758282708	4	ALDH1A1|ALDH2|APEX1|CBX1	2	2	0.0391332822780251	C	C: Approved non-oncology
NIFEDIPINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.265041988920979	4	ALDH1A1|CACNA2D1|CBX1|MMP9	2	2	0.0887819703382407	C	C: Approved non-oncology
PACLITAXEL	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.781109204228779	4	ASS1|CASP3|EGFR|MMP2	3	1	0.0249778940473137	C	C: Approved non-oncology
PERPHENAZINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.142317064390819	4	CBX1|CDH13|SERPINA3|UBE2N	1	3	0.308898216324766	C	C: Approved non-oncology
SIROLIMUS	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.677768691634649	4	DCN|EGFR|EML4|FKBP4	3	1	0.600043661596385	C	C: Approved non-oncology
TRETINOIN	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.400170296177194	4	AMH|APOA1|BCKDHB|HSPA8	2	2	0.101235549887949	C	C: Approved non-oncology
ATALUREN	DGIdb|OpenTargets	2	CHEMBL256997	4	TRUE	FALSE	FALSE	NA	3	RPL12|RPS11|RPS8	3	0	0.127326337948501	C	C: Approved non-oncology
AZATHIOPRINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.419118266177257	3	HBB|IMPDH2|SERPINE1	1	2	0.27475683452045	C	C: Approved non-oncology
BROMOCRIPTINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.301134317454951	3	A2M|ALDH1A1|ALDH2	0	3	0.0366085543891203	C	C: Approved non-oncology
CABERGOLINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.41642089182235	3	A2M|ALDH1A1|ALDH2	0	3	0.0709290741289205	C	C: Approved non-oncology
EPTIFIBATIDE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.218379557154177	3	FGA|FGB|FGG	0	3	2.61018992794428	C	C: Approved non-oncology
GEMCITABINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.590554996611388	3	CDA|NIPSNAP2|TNC	2	1	0.162123598008961	C	C: Approved non-oncology
HYDROXYUREA	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.401045141155405	3	ASS1|DNMT1|NIPSNAP2	1	2	0.621473792367685	C	C: Approved non-oncology
MAVACAMTEN	DGIdb|OpenTargets	2	CHEMBL4297517	4	TRUE	FALSE	FALSE	NA	3	MYH7|MYL2|MYL3	0	3	1.93347402069946	C	C: Approved non-oncology
METHYSERGIDE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.118337141661234	3	A2M|ALDH1A1|SERPINA3	0	3	0.0482029534246404	C	C: Approved non-oncology
OLANZAPINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.417445563435298	3	A2M|GSTM3|SERPINA3	0	3	0.457928057534084	C	C: Approved non-oncology
PERGOLIDE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.05202610627013	3	A2M|ALDH1A1|ALDH2	0	3	0.0667567756507488	C	C: Approved non-oncology
PROCHLORPERAZINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.253473205709127	3	ALDH1A1|ALDH2|CBX1	1	2	0.0405308995022403	C	C: Approved non-oncology
RISPERIDONE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.500355391575891	3	A2M|ALDH1A1|SERPINA3	0	3	0.0136694942547488	C	C: Approved non-oncology
SORAFENIB	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.599601753168969	3	CDH13|DPT|EGFR	1	2	0.0698378576038602	C	C: Approved non-oncology
TAMOXIFEN	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.281991629918512	3	CBX1|F2|F5	1	2	0.0411864288433022	C	C: Approved non-oncology
TENOFOVIR	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.084611851911081	3	AK4|NME1|NME2	2	1	1.86442137710305	C	C: Approved non-oncology
TESTOSTERONE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.234865866858017	3	AMH|APOA1|CAV1	1	2	0.669279468703661	C	C: Approved non-oncology
TIROFIBAN	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.291808034383744	3	FGA|FGB|FGG	0	3	2.61018992794428	C	C: Approved non-oncology
TRIMIPRAMINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.356199787242962	3	CBX1|EPHX1|HLA-A	2	1	0.121687176127938	C	C: Approved non-oncology
VINCRISTINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.188022217006853	3	CAPG|MTR|VWF	2	1	1.28898268046631	C	C: Approved non-oncology
ACETYLDIGITOXIN	DGIdb|OpenTargets	2	CHEMBL3545057	4	TRUE	FALSE	FALSE	NA	2	ATP1A1|ATP1B1	0	2	1.54677921655957	C	C: Approved non-oncology
AFATINIB	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.571276649587275	2	EGFR|EML4	2	0	1.22352652872388	C	C: Approved non-oncology
ALITRETINOIN	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.168321762488159	2	CD34|SERPINE1	1	1	0.497179033894148	C	C: Approved non-oncology
ALPROSTADIL	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.476107434644392	2	A2M|APOC3	0	2	0.0810617990044806	C	C: Approved non-oncology
BENAZEPRIL	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.423376178885945	2	AGT|SPTA1	0	2	17.4012661862952	C	C: Approved non-oncology
CITALOPRAM	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.330764722680897	2	REEP5|SERPINE1	1	1	0.745768550841222	C	C: Approved non-oncology
CLIOQUINOL	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.247771215454497	2	ALDH1A1|APP	1	1	0.0878851827590666	C	C: Approved non-oncology
CLOMIPRAMINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.235734714546252	2	EPHX1|HLA-A	1	1	0.105675705584789	C	C: Approved non-oncology
CLOPIDOGREL	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.110538136303582	2	CDH13|MYOM2	0	2	1.49153710168244	C	C: Approved non-oncology
COPANLISIB	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.260104822104624	2	ETFB|F5	0	2	0.0551837194068557	C	C: Approved non-oncology
DACTINOMYCIN	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.0172132940753986	2	APEX1|MTR	2	0	0.372884275420611	C	C: Approved non-oncology
DESIPRAMINE	DGIdb|L2S2	2	NA	NA	TRUE	FALSE	FALSE	-0.0622390072025501	2	EPHX1|HLA-A	1	1	0.102966072108255	C	C: Approved non-oncology
DESLANOSIDE	DGIdb|OpenTargets	2	CHEMBL1614	4	TRUE	FALSE	FALSE	NA	2	ATP1A1|ATP1B1	0	2	1.39210129490361	C	C: Approved non-oncology
ERLOTINIB HYDROCHLORIDE	ChEMBL|DGIdb	2	CHEMBL1079742	4	TRUE	FALSE	FALSE	NA	2	EGFR|PTPRF	2	0	17.4012661862952	C	C: Approved non-oncology
