drug_name_norm	chembl_id	drug_class	drug_class_label	n_sources	sources	max_phase	is_approved	hnscc_indication	cmap_score	n_de_genes	n_up_genes	n_down_genes	de_genes	primary_target	primary_target_centrality	primary_pi	module_id	module_name	tier	is_network_hub	has_credible_target	s_reversal	s_regulatory	s_breadth	TargetPriority	DrugViability	composite_score	final_score
OLMUTINIB	CHEMBL3786343	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.75	0.605422740918836	0.75	0.663253644551301	0.663253644551301
OSIMERTINIB	CHEMBL3353410	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.75	0.605422740918836	0.75	0.663253644551301	0.663253644551301
ROCILETINIB	CHEMBL3545308	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.75	0.605422740918836	0.75	0.663253644551301	0.663253644551301
NERATINIB	CHEMBL180022	B	B: Approved other cancer	4	ChEMBL|DGIdb|L2S2|OpenTargets	4	TRUE	FALSE	-0.471031209243264	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0.471031209243264	0.75	1	0.605422740918836	0.688412483697306	0.638618638030224	0.638618638030224
CETUXIMAB SAROTALOCAN	CHEMBL4298088	B	B: Approved other cancer	2	DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.75	0.5	0.605422740918836	0.666666666666667	0.629920311217968	0.629920311217968
VANDETANIB	CHEMBL24828	B	B: Approved other cancer	3	DGIdb|L2S2|OpenTargets	4	TRUE	FALSE	-0.476721811731721	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0.476721811731721	0.75	0.75	0.605422740918836	0.640688724692688	0.619529134428377	0.619529134428377
DACOMITINIB	CHEMBL2105719	B	B: Approved other cancer	3	ChEMBL|L2S2|OpenTargets	4	TRUE	FALSE	-0.329370075898676	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0.329370075898676	0.75	0.75	0.605422740918836	0.58174803035947	0.59595285669509	0.59595285669509
METFORMIN	CHEMBL1431	A	A: Approved + HNSCC evidence	3	DGIdb|L2S2|OpenTargets	4	TRUE	TRUE	-0.436386524303975	20	1	19	EGFR|NDUFA10|NDUFA13|NDUFA2|NDUFA5|NDUFA8|NDUFA9|NDUFB1|NDUFB10|NDUFB11|NDUFB4|NDUFB7|NDUFB9|NDUFS1|NDUFS2|NDUFS3|NDUFS6|NDUFS7|NDUFV1|NDUFV2	NDUFS2	0.660189113952916	0.30856065856969	8	M8_oxidative_phosphorylation	hub_central	TRUE	TRUE	0.436386524303975	1	0.75	0.501956309030465	0.72455460972159	0.590995629306915	0.590995629306915
ABIVERTINIB	CHEMBL4297865	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.416666666666667	0.529920311217968	0.529920311217968
CANERTINIB DIHYDROCHLORIDE	CHEMBL545315	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.416666666666667	0.529920311217968	0.529920311217968
DEPATUXIZUMAB MAFODOTIN	CHEMBL3707277	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.416666666666667	0.529920311217968	0.529920311217968
FIRMONERTINIB	CHEMBL4297258	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.416666666666667	0.529920311217968	0.529920311217968
FUTUXIMAB	CHEMBL2109388	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.416666666666667	0.529920311217968	0.529920311217968
NAQUOTINIB	CHEMBL3663929	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.416666666666667	0.529920311217968	0.529920311217968
PYROTINIB	CHEMBL3647420	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.416666666666667	0.529920311217968	0.529920311217968
RINDOPEPIMUT	CHEMBL2107863	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.416666666666667	0.529920311217968	0.529920311217968
RUSERONTINIB	CHEMBL3678958	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.416666666666667	0.529920311217968	0.529920311217968
SIMOTINIB	CHEMBL3545235	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.416666666666667	0.529920311217968	0.529920311217968
TESEVATINIB	CHEMBL3544983	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.416666666666667	0.529920311217968	0.529920311217968
ZALUTUMUMAB	CHEMBL2107861	D	D: Not approved / Experimental	3	ChEMBL|DGIdb|OpenTargets	3	FALSE	FALSE	NA	1	1	0	EGFR	EGFR	0.469137969591305	0.771993016985817	2	M2_regulation_of_anatomical_struc	hub_central	TRUE	TRUE	0	0.25	0.75	0.605422740918836	0.416666666666667	0.529920311217968	0.529920311217968
CEDAZURIDINE	CHEMBL3237547	B	B: Approved other cancer	3	ChEMBL|DGIdb|OpenTargets	4	TRUE	FALSE	NA	1	1	0	CDA	CDA	2.01050000542219e-07	0.740746350489473	14	M14_small_molecule_metabolic_proce	peripheral_diff	FALSE	TRUE	0	0.75	0.75	0.333335968297763	0.75	0.500001580978658	0.500001580978658
