ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa00280	Valine, leucine and isoleucine degradation	33	-0.764764155153573	-1.67937590266621	0.000753998363823089	0.00801472334878617	0.00602610778104223	540	tags=70%, list=17%, signal=59%	IVD/HSD17B10/DBT/ECHS1/ACAT1/ACADS/PCCB/MMUT/ALDH7A1/MCCC2/HADHA/HMGCS2/MCEE/ALDH3A2/ALDH1B1/BCKDHA/HADHB/BCKDHB/ACAA2/ALDH6A1/ALDH2/ACADM/HIBADH
hsa04972	Pancreatic secretion	26	-0.781036201527587	-1.66086950320573	0.000806515155060014	0.00826678033936515	0.00621562431531214	470	tags=35%, list=14%, signal=30%	PRKCA/SLC12A2/CLCA4/ATP1A1/ATP2A2/CA2/ATP2A3/ATP1B1/ATP2A1
hsa04217	Necroptosis	44	-0.719363994192019	-1.64733029697246	0.000920667074905123	0.00880771501659234	0.0066223421177386	96	tags=11%, list=3%, signal=11%	VDAC1/VDAC2/VDAC3/PYGM/SLC25A4
hsa04261	Adrenergic signaling in cardiomyocytes	40	-0.730260580181805	-1.64175784353129	0.000890422168830927	0.00880771501659234	0.0066223421177386	251	tags=30%, list=8%, signal=28%	TPM1/ATP2A2/TPM2/ATP2A3/AGT/CACNA2D1/TNNI3/ATP1B1/ATP2A1/MYH7/MYL3/MYL2
hsa03050	Proteasome	40	0.659488499250239	1.74541725381502	0.00101779368358013	0.00912833709960929	0.00686341135308969	382	tags=35%, list=12%, signal=31%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMA3/PSMA5
hsa05168	Herpes simplex virus 1 infection	63	0.59912328682558	1.70322165723193	0.00100155392255207	0.00912833709960929	0.00686341135308969	852	tags=46%, list=26%, signal=35%	SRSF1/SRSF2/EIF2AK2/SRSF6/ALYREF/SRSF5/PPP1CA/CASP3/IKBKG/HLA-E/HLA-A/HLA-F/TAP1/SRSF4/NECTIN1/NECTIN2/B2M/HLA-DRB1/HLA-DPB1/TAPBP/HLA-C/CALR/OAS3/STAT1/PPP1CC/HLA-DQA1/SRSF7/HLA-B/PTPN11
hsa03250	Viral life cycle - HIV-1	26	0.724879719370739	1.71535618589763	0.00150987843058651	0.013131366956919	0.00987320823828497	462	tags=23%, list=14%, signal=20%	BICD2/CPSF6/SUPT5H/CPSF7/MLLT1/PPIA
hsa05200	Pathways in cancer	111	0.494587431662992	1.55255937509277	0.00186968313106871	0.0157823252534329	0.0118664099649872	395	tags=21%, list=12%, signal=19%	LAMA3/LAMB3/COL4A2/COL4A1/CASP7/EGFR/MMP2/LAMB1/MMP9/TPR/LAMC2/RALB/NRAS/FZD1/TFG/LAMA4/CASP3/TGFB1/IKBKG/EML4/RALA/FGFR1/ROCK1
hsa04020	Calcium signaling pathway	42	-0.703902688595723	-1.59807221569753	0.00276188050420591	0.0226474201344884	0.017028135439465	226	tags=29%, list=7%, signal=27%	ATP2A2/HRC/GNA11/ATP2A3/CASQ2/TNNC2/VDAC1/VDAC2/VDAC3/ATP2A1/CASQ1/SLC25A4
hsa01200	Carbon metabolism	85	-0.612907176323538	-1.54760953934795	0.00319745429765342	0.0254908162062926	0.0191660272227764	544	tags=46%, list=17%, signal=39%	ADH5/ECHS1/ACAT1/ACADS/ACO1/GPI/PCCB/IDH2/PC/TKFC/MMUT/ACSS1/SDHA/IDH3G/OGDHL/HK1/MCEE/GOT1/ACO2/DLAT/IDH3B/OGDH/ESD/GOT2/MDH1/IDH3A/PGAM2/SUCLG2/ENO3/SUCLG1/GPT/PDHB/ALDH6A1/SUCLA2/CS/SDHB/PFKM/SDHC/PDHA1
hsa04926	Relaxin signaling pathway	29	0.70872413145728	1.72878489930698	0.00363383071064919	0.0281867409177383	0.0211930382840138	68	tags=21%, list=2%, signal=20%	COL4A2/COL4A1/COL3A1/EGFR/MMP2/MMP9
hsa00310	Lysine degradation	17	-0.813351000016161	-1.60343889413136	0.00375004351313886	0.0283226970597593	0.0212952609471874	540	tags=53%, list=17%, signal=44%	ECHS1/ACAT1/TMLHE/ALDH7A1/HADHA/ALDH3A2/ALDH1B1/SMYD1/ALDH2
hsa05212	Pancreatic cancer	20	0.741425469789332	1.64931026127966	0.00467264195273943	0.0343858523188773	0.0258540242999078	363	tags=25%, list=11%, signal=22%	EGFR/RALB/TGFB1/IKBKG/RALA
hsa00500	Starch and sucrose metabolism	17	-0.805477941529331	-1.58791795889762	0.00502910576081673	0.0360838338338601	0.0271307021307219	346	tags=47%, list=11%, signal=42%	PYGB/GPI/HK1/PGM1/UGP2/AGL/GYG1/PYGM
hsa01522	Endocrine resistance	15	0.799634788784211	1.68536684232263	0.00544638371406407	0.0381246859984485	0.0286651774424425	225	tags=27%, list=7%, signal=25%	EGFR/MMP2/MMP9/NRAS
hsa04919	Thyroid hormone signaling pathway	29	-0.733780775104716	-1.57797913462332	0.00684158516707399	0.0467508319750056	0.0351510014849666	362	tags=28%, list=11%, signal=25%	SIN3A/ATP1A1/ATP2A2/ATP2A3/PFKM/ATP1B1/ATP2A1/MYH7
