ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0034703	cation channel complex	15/662	24/3240	0.625	3.05891238670695	5.12954069270569	8.0150337202565e-06	0.000182658400045846	0.000157192351078715	ATP2A1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/CACNA2D1/CASQ2/SUMO1	15
GO:0031430	M band	11/662	15/3240	0.733333333333333	3.58912386706949	5.09244808651837	1.46388806426682e-05	0.000301839777060729	0.000259757581328548	ANK1/ANK2/CRYAB/ENO1/KLHL41/MYBPC1/MYBPC2/MYOM1/MYOM2/MYOM3/TTN	11
GO:0036379	myofilament	11/662	15/3240	0.733333333333333	3.58912386706949	5.09244808651837	1.46388806426682e-05	0.000301839777060729	0.000259757581328548	MYOM1/TMOD1/TNNI3/TNNC2/TNNI1/TNNI2/TNNT1/TPM1/TPM2/TPM4/TTN	11
GO:0062023	collagen-containing extracellular matrix	68/662	211/3240	0.322274881516588	1.57729700319297	4.39424134735852	2.07480822558176e-05	0.00040835998258041	0.000351426847777963	A2M/ABI3BP/AGRN/AGT/ANXA6/APCS/APOA1/APOA4/APOC3/APOH/BGN/CDH13/CLEC3B/CLU/CMA1/COL12A1/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/CTHRC1/CTSD/CTSH/CTSL/CTSS/DCN/DLG1/DPT/EMILIN1/F2/FCN1/FGA/FGB/FGG/HMCN1/IGFBP7/ITIH2/L1CAM/LAMA3/LAMA4/LAMB1/LAMB3/LAMC2/LGALS1/LUM/MMP2/MMP8/MMP9/OGN/POSTN/PRELP/S100A10/S100A7/SERPINA3/SERPINB1/SERPINB8/SERPINB9/SERPINE1/SERPINF1/SFRP1/SOD3/TIMP2/TNC/TNXB/VCAN/VTN/VWF	68
GO:0031012	extracellular matrix	72/662	229/3240	0.314410480349345	1.53880658056175	4.28536942636043	3.02108947026805e-05	0.000568752930706986	0.000489457973672719	A2M/ABI3BP/AGRN/AGT/ANXA6/APCS/APOA1/APOA4/APOC3/APOH/BGN/CDH13/CHI3L1/CLEC3B/CLU/CMA1/COL12A1/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/CTHRC1/CTSD/CTSH/CTSL/CTSS/DCN/DLG1/DPT/EMILIN1/F2/FCN1/FGA/FGB/FGG/GLG1/HMCN1/IGFBP7/ITIH2/L1CAM/LAMA3/LAMA4/LAMB1/LAMB3/LAMC2/LGALS1/LUM/MMP11/MMP2/MMP8/MMP9/MUC5B/OGN/POSTN/PRELP/S100A10/S100A7/SERPINA3/SERPINB1/SERPINB8/SERPINB9/SERPINE1/SERPINF1/SFRP1/SOD3/TIMP2/TNC/TNXB/VCAN/VTN/VWF	72
GO:0030312	external encapsulating structure	72/662	230/3240	0.31304347826087	1.532116117168	4.24209212514524	3.56057271675023e-05	0.000642386660980353	0.000552825763916482	A2M/ABI3BP/AGRN/AGT/ANXA6/APCS/APOA1/APOA4/APOC3/APOH/BGN/CDH13/CHI3L1/CLEC3B/CLU/CMA1/COL12A1/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/CTHRC1/CTSD/CTSH/CTSL/CTSS/DCN/DLG1/DPT/EMILIN1/F2/FCN1/FGA/FGB/FGG/GLG1/HMCN1/IGFBP7/ITIH2/L1CAM/LAMA3/LAMA4/LAMB1/LAMB3/LAMC2/LGALS1/LUM/MMP11/MMP2/MMP8/MMP9/MUC5B/OGN/POSTN/PRELP/S100A10/S100A7/SERPINA3/SERPINB1/SERPINB8/SERPINB9/SERPINE1/SERPINF1/SFRP1/SOD3/TIMP2/TNC/TNXB/VCAN/VTN/VWF	72
GO:0005865	striated muscle thin filament	10/662	14/3240	0.714285714285714	3.49589987052223	4.74189580684923	5.35433434309645e-05	0.000892400172468391	0.00076798264508037	TMOD1/TNNI3/TNNC2/TNNI1/TNNI2/TNNT1/TPM1/TPM2/TPM4/TTN	10
GO:0005681	spliceosomal complex	34/662	88/3240	0.386363636363636	1.89096402087339	4.29340057865092	5.35852297556078e-05	0.000892400172468391	0.00076798264508037	ADAR/ALYREF/DDX46/HNRNPA1/HNRNPF/HSPA8/LSM2/LSM4/LSM6/LSM7/PABPC1/PLRG1/PPIE/PPIH/PPIL1/PPIL3/RALY/RBMX/RBMXL1/SF3A1/SF3B2/SF3B4/SNRNP200/SNRNP70/SNRPA/SNRPD1/SNRPD2/SNRPD3/SNRPE/SNRPF/SRSF1/SRSF2/TRA2B/YBX1	34
GO:0034702	monoatomic ion channel complex	16/662	30/3240	0.533333333333333	2.61027190332326	4.48952442466908	6.3000343027724e-05	0.00101033883448165	0.00086947841839432	ATP2A1/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/CACNA2D1/CASQ2/SUMO1/TMEM109	16
GO:0016469	proton-transporting two-sector ATPase complex	11/662	17/3240	0.647058823529412	3.16687400035543	4.53859028104598	8.84520371848807e-05	0.00136784757503762	0.00117714365276119	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5MK/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO	11
