ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
R-HSA-6798695	Neutrophil degranulation	303	0.403165605834463	1.39102692027149	0.000921626583041018	0.00660642606721926	0.00437919960264448	633	tags=29%, list=19%, signal=26%	GGH/RNASE2/RNASE3/FCN1/MMP9/MAN2B1/CTSS/CDA/GNS/S100A11/PNP/MMP8/S100A7/EPX/GALNS/HSPA8/FABP5/SIRPA/PPIE/AZU1/GM2A/CTSH/NPC2/MPO/NME2/PSMA2/TIMP2/PDXK/GRN/NRAS/CTSD/CHI3L1/DYNLL1/ARG1/RNASET2/SERPINB1/PGAM1/OLFM4/NHLRC3/CEACAM8/CKAP4/CHIT1/AGA/PSMB1/ALDOC/KCNAB2/MLEC/RETN/CPNE3/LCN2/PSMA5/PKP1/DSG1/ROCK1/PGLYRP1/CAPN1/GUSB/ARSB/CEACAM1/ADA2/PPIA/PKM/ADGRE5/CAP1/MANBA/S100P/S100A12/RAB4B/CEACAM6/CAMP/CTSB/PTPRC/HEXB/FTL/GLB1/ADAM10/MOSPD2/PSMB7/B2M/PSAP/PRDX4/ELANE/CALML5/TOLLIP/RAB31/FGL2/PTPN6/BPI/DSP
R-HSA-5658442	Regulation of RAS by GAPs	45	0.672622944956072	1.77243182097854	0.00100415358406439	0.00693861080159809	0.00459939479471883	382	tags=36%, list=12%, signal=32%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/NRAS/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-8878159	Transcriptional regulation by RUNX3	47	0.652770470222986	1.75549834266963	0.00099592804447696	0.00693861080159809	0.00459939479471883	382	tags=36%, list=12%, signal=32%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/RBPJ/PSMB1/PSMA6/PSMD10/TGFB1/PSMA3/PSMA5
R-HSA-4641258	Degradation of DVL	43	0.662011686209837	1.71709183841049	0.000980723333769556	0.00693861080159809	0.00459939479471883	382	tags=35%, list=12%, signal=31%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-168273	Influenza Viral RNA Transcription and Replication	87	0.562328810864785	1.67433663631995	0.00100295073213647	0.00693861080159809	0.00459939479471883	815	tags=38%, list=25%, signal=29%	RAE1/TPR/RPS11/RPL12/RPL10/RPS8/RPL8/RPS23/RPL18/RPS15A/RPL4/RPL6/RPL7/RPL38/RPL7A/NUP43/RPL35A/RANBP2/RPL15/SEC13/RPS4X/NUP50/RPL5/RPS6/RPL24/RPL30/RPL14/SEH1L/RPL3/RPS7/RPS5/RPS28/RPL11
R-HSA-4086400	PCP/CE pathway	55	0.636327343909272	1.75869416963487	0.00105197657653966	0.00702723867188342	0.00465814352366664	382	tags=29%, list=12%, signal=26%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/FZD1/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	43	0.660410398571881	1.71293850095232	0.00107195166181273	0.00702723867188342	0.00465814352366664	382	tags=35%, list=12%, signal=31%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	43	0.660299522247954	1.71265091565005	0.00107195166181273	0.00702723867188342	0.00465814352366664	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/BUB3/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-176409	APC/C:Cdc20 mediated degradation of mitotic proteins	43	0.660299522247954	1.71265091565005	0.00107195166181273	0.00702723867188342	0.00465814352366664	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/BUB3/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	43	0.660299522247954	1.71265091565005	0.00107195166181273	0.00702723867188342	0.00465814352366664	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/BUB3/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-179419	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	43	0.660299522247954	1.71265091565005	0.00107195166181273	0.00702723867188342	0.00465814352366664	382	tags=37%, list=12%, signal=33%	PSMB10/PSMB9/BUB3/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	42	0.67279979450477	1.74758572532861	0.00109208391889668	0.00703889383019961	0.00466586937485269	382	tags=36%, list=12%, signal=32%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-8948751	Regulation of PTEN stability and activity	42	0.672055862494804	1.74565337491493	0.00109208391889668	0.00703889383019961	0.00466586937485269	382	tags=36%, list=12%, signal=32%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
R-HSA-180534	Vpu mediated degradation of CD4	42	0.670441525238913	1.74146016206424	0.00119609037662779	0.0075196829415862	0.00498456990432462	382	tags=36%, list=12%, signal=32%	PSMB10/PSMB9/PSMB8/PSMA2/PSMB2/PSMB3/PSMA4/PSMB4/PSMA1/PSMA7/PSMB1/PSMA6/PSMD10/PSMA3/PSMA5
