ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0005201	extracellular matrix structural constituent	33/655	81/3224	0.407407407407407	2.00531523890302	4.62638035691615	1.68927258665391e-05	0.000425874510003803	0.000388392312166966	ABI3BP/AGRN/BGN/CHI3L1/COL12A1/COL3A1/COL4A1/COL4A2/COL5A1/COL5A2/CTHRC1/DCN/DPT/EMILIN1/FGA/FGB/FGG/HMCN1/IGFBP7/LAMA3/LAMA4/LAMB1/LAMB3/LAMC2/LUM/OGN/POSTN/PRELP/TNC/TNXB/VCAN/VTN/VWF	33
GO:0005496	steroid binding	15/655	26/3224	0.576923076923077	2.83969465648855	4.75512504281562	2.91470913336867e-05	0.000698072837441796	0.000636633837025262	SOAT2/ANXA6/APOA1/APOA2/APOC3/APOD/ATP1A1/CAV1/EPHX1/NPC2/PGRMC2/SERPINA6/STARD5/VDAC1/VDAC2	15
GO:0008307	structural constituent of muscle	17/655	32/3224	0.53125	2.61488549618321	4.6350458275493	3.65553299463005e-05	0.000833809668775141	0.00076042415677768	ACTN2/KRT19/MYBPC1/MYBPC2/MYL1/MYL2/MYL3/MYL11/MYOM1/MYOM2/SORBS2/SYNM/TCAP/TPM1/TPM2/TPM4/TTN	17
GO:0032934	sterol binding	12/655	19/3224	0.631578947368421	3.10871836078746	4.65425435356841	5.52839332255837e-05	0.0012036820006843	0.00109774317170417	SOAT2/ANXA6/APOA1/APOA2/APOC3/APOD/CAV1/EPHX1/NPC2/STARD5/VDAC1/VDAC2	12
GO:0015485	cholesterol binding	11/655	17/3224	0.647058823529412	3.18491243825775	4.56013571923076	8.36808659841067e-05	0.00174274499158205	0.00158936198551049	SOAT2/ANXA6/APOA1/APOA2/APOC3/APOD/CAV1/NPC2/STARD5/VDAC1/VDAC2	11
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	13/655	26/3224	0.5	2.46106870229008	3.77647690122369	0.000669632309611276	0.012830155052152	0.0117009435153128	FKBP10/FKBP14/FKBP15/FKBP4/FKBP7/FKBP9/PPIB/PPIC/PPIE/PPIH/PPIL1/PPIL3/PPIL4	13
GO:0016859	cis-trans isomerase activity	13/655	26/3224	0.5	2.46106870229008	3.77647690122369	0.000669632309611276	0.012830155052152	0.0117009435153128	FKBP10/FKBP14/FKBP15/FKBP4/FKBP7/FKBP9/PPIB/PPIC/PPIE/PPIH/PPIL1/PPIL3/PPIL4	13
GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	14/655	30/3224	0.466666666666667	2.29699745547074	3.60330518098125	0.00100279805372599	0.0184746256821057	0.016848631267056	ALDH1A1/ALDH1B1/ALDH2/ALDH3A2/ALDH4A1/ALDH5A1/ALDH6A1/ALDH7A1/BCKDHB/DLAT/OGDH/PDHA1/PDHB/PDHX	14
GO:0005261	monoatomic cation channel activity	13/655	27/3224	0.481481481481481	2.36991800961267	3.6088920348903	0.00105510525156613	0.0187183487222287	0.0170709036803097	ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/CACNA2D1/TSPOAP1/TMEM109	13
GO:0005216	monoatomic ion channel activity	17/655	40/3224	0.425	2.09190839694657	3.50831372555503	0.00110732463583243	0.018943160734419	0.0172759294688142	ANXA6/ATP5F1A/ATP5F1B/ATP5F1C/ATP5F1D/ATP5ME/ATP5MF/ATP5MG/ATP5PB/ATP5PD/ATP5PO/CACNA2D1/TSPOAP1/TMEM109/VDAC1/VDAC2/VDAC3	17
GO:0051287	NAD binding	15/655	34/3224	0.441176470588235	2.17153120790301	3.46710288740566	0.00136529444735722	0.0225508979408314	0.0205661414030217	ALDH1A1/ALDH1B1/ALDH2/GPD1/GPD1L/HIBADH/HSD17B8/IDH3A/IDH3B/IDH3G/NDUFS2/NDUFV1/NNT/QDPR/SIRT5	15
GO:0043178	alcohol binding	12/655	26/3224	0.461538461538462	2.27175572519084	3.28715283042773	0.00258680566633229	0.0413026638057722	0.0376675211062421	SOAT2/ANXA6/APOA1/APOA2/APOC3/APOD/CAV1/CRABP2/NPC2/STARD5/VDAC1/VDAC2	12
GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	14/655	33/3224	0.424242424242424	2.0881795049734	3.17221679776662	0.00307644437864722	0.0475360276571619	0.0433522722288148	ALDH1A1/ALDH1B1/ALDH2/ALDH3A2/ALDH4A1/ALDH5A1/ALDH6A1/ALDH7A1/BCKDHB/DLAT/OGDH/PDHA1/PDHB/PDHX	14
