ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0009142	nucleoside triphosphate biosynthetic process	58	-0.810341732219825	-1.92255100320129	6.19236465227774e-08	3.04624390152373e-06	2.53056395891893e-06	410	tags=67%, list=13%, signal=60%	4725/126328/4706/3615/6389/4704/4705/4723/4726/205/515/9551/4716/10632/4729/51079/4713/4702/54539/4695/539/498/4719/4715/84833/374291/6390/4707/521/4698/6391/203/4710/506/10476/513/509/4720/4722
GO:0022618	protein-RNA complex assembly	83	0.702486845063258	2.08996978376096	6.46683264760121e-08	3.13076818653709e-06	2.60077964624496e-06	404	tags=25%, list=12%, signal=23%	6632/6636/6633/255308/6426/25804/10262/6635/22827/6634/57819/6431/10992/1968/10291/6430/8666/23020/103/9879/58155
GO:0031032	actomyosin structure organization	91	-0.739935141607872	-1.89017940371908	7.83674199877568e-08	3.73469735879154e-06	3.10247335379162e-06	421	tags=33%, list=13%, signal=30%	7140/58/335/10398/1264/6281/4703/8048/6422/2318/4653/7168/10324/1073/3880/7111/7138/3856/7273/127294/4604/4606/88/9172/8557/8736/11155/4625/844/4633
GO:0006754	ATP biosynthetic process	47	-0.838767736312318	-1.93895322329396	9.61417559970203e-08	4.51126701216787e-06	3.74758229449114e-06	310	tags=77%, list=10%, signal=70%	4725/126328/4706/6389/4704/4705/4723/4726/515/9551/4716/10632/4729/51079/4713/4702/54539/4695/539/498/4719/4715/84833/374291/6390/4707/521/4698/6391/4710/506/10476/513/509/4720/4722
GO:0009260	ribonucleotide biosynthetic process	77	-0.772390546554472	-1.92271990643048	1.2321631156432e-07	5.69408712532086e-06	4.73017004681529e-06	410	tags=53%, list=13%, signal=48%	4725/126328/4706/3615/6389/4704/4705/4723/51727/4726/205/515/9551/4716/10632/4729/51079/4713/4702/54539/4695/122622/539/498/4719/4715/84833/374291/6390/4707/521/4698/6391/203/4710/506/10476/513/509/4720/4722
GO:0071826	protein-RNA complex organization	86	0.691720512086011	2.07002211833111	1.42550272390415e-07	6.48922881777263e-06	5.39070708002717e-06	643	tags=34%, list=20%, signal=28%	6632/6636/6633/255308/6426/25804/10262/6635/22827/6634/57819/6431/10992/1968/10291/6430/8666/23020/103/9879/58155/3799/27339/11338/8894/51631/6631/6169/1653
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	52	-0.812664165926484	-1.90788281027019	1.74166548850754e-07	7.81188197051175e-06	6.48945639448552e-06	410	tags=71%, list=13%, signal=63%	4725/126328/4706/3615/6389/4704/4705/4723/4726/515/9551/4716/10632/4729/51079/4713/4702/54539/4695/539/498/4719/4715/84833/374291/6390/4707/521/4698/6391/4710/506/10476/513/509/4720/4722
GO:0009145	purine nucleoside triphosphate biosynthetic process	53	-0.806546520427549	-1.89719626616744	1.88579257164434e-07	8.33574977321047e-06	6.92464183058416e-06	410	tags=70%, list=13%, signal=62%	4725/126328/4706/3615/6389/4704/4705/4723/4726/515/9551/4716/10632/4729/51079/4713/4702/54539/4695/539/498/4719/4715/84833/374291/6390/4707/521/4698/6391/4710/506/10476/513/509/4720/4722
GO:0009201	ribonucleoside triphosphate biosynthetic process	54	-0.812272700798576	-1.91562902919969	1.97884356023376e-07	8.62210408387566e-06	7.16252097666565e-06	410	tags=69%, list=13%, signal=61%	4725/126328/4706/3615/6389/4704/4705/4723/4726/515/9551/4716/10632/4729/51079/4713/4702/54539/4695/539/498/4719/4715/84833/374291/6390/4707/521/4698/6391/4710/506/10476/513/509/4720/4722
GO:0009165	nucleotide biosynthetic process	98	-0.729804196669034	-1.8798246880099	2.02114426075206e-07	8.68238027506167e-06	7.21259338121603e-06	310	tags=42%, list=10%, signal=39%	4725/126328/4706/3615/6389/4704/4705/4723/51727/4726/205/515/9551/4716/10632/4729/51079/4713/4702/54539/4695/122622/539/498/4719/4715/84833/374291/6390/4707/521/4698/6391/203/4710/506/10476/513/509/4720/4722
GO:0061061	muscle structure development	184	-0.642725485751019	-1.75782158695701	2.2176974370571e-07	9.39441275420021e-06	7.80409024999479e-06	444	tags=32%, list=14%, signal=29%	1293/10611/7140/58/6444/10398/975/84148/347273/7373/3316/4703/287/3956/8048/131377/6876/1756/27295/2318/1674/7168/274/488/7345/140465/10324/445/1073/2275/3880/7111/150572/7138/3856/7273/127294/4604/4606/88/7137/8470/857/9172/7135/8557/493829/8736/3679/34/11155/4625/2273/844/1410/4634/284612/4633/29895
GO:0055002	striated muscle cell development	62	-0.778484589514891	-1.87174337707009	2.54142676683606e-07	1.06182899162329e-05	8.82078475526229e-06	438	tags=48%, list=13%, signal=43%	10611/7140/58/6444/10398/7373/4703/8048/131377/2318/7168/10324/1073/3880/7111/7138/3856/7273/127294/4604/4606/88/8470/9172/8557/8736/11155/4625/844/4633
