Gen	UniProt ID	log2FC	FDR	Dirección
SRSF5	Q13243	1.696	0.0447	Up
GM2A	P17900	1.695	0.0224	Up
PUF60	Q9UHX1	1.693	0.00644	Up
METAP2	P50579	1.691	0.036	Up
PPIE	Q9UNP9	1.682	0.0211	Up
CPSF7	Q8N684	1.681	0.0117	Up
MPZL2	O60487	1.675	0.0181	Up
ACOX1	Q15067	1.673	0.00941	Up
CBX3	Q13185	1.672	0.0128	Up
DSG3	P32926	1.663	0.0275	Up
SRSF6	Q13247	1.659	0.0285	Up
MPO	P05164	1.657	0.0351	Up
SPINT1	O43278	1.655	0.0198	Up
STAMBP	O95630	1.654	0.00535	Up
TPR	P12270	1.65	0.00507	Up
PABPN1	Q86U42	1.648	0.0245	Up
WDR5	P61964	1.648	0.0152	Up
NMI	Q13287	1.645	0.0239	Up
MPRIP	Q6WCQ1	1.64	0.00558	Up
CLIP2	Q9UDT6	1.639	0.0192	Up
HNRNPA1	P09651	1.632	0.00954	Up
BUB3	O43684	1.628	0.00279	Up
CHI3L1	P36222	1.626	0.0457	Up
CPSF6	Q16630	1.623	0.00507	Up
NUMA1	Q14980	1.622	0.0165	Up
UBQLN2	Q9UHD9	1.616	0.0291	Up
MYG1	Q9HB07	1.615	0.00967	Up
SIRPA	P78324	1.611	0.0174	Up
LMNB1	P20700	1.609	0.0383	Up
MESD	Q14696	1.599	0.0239	Up
CAPRIN1	Q14444	1.595	0.0161	Up
CASP6	P55212	1.579	0.0243	Up
TPM4	P67936	1.577	0.00599	Up
TXLNA	P40222	1.574	0.0184	Up
S100A11	P31949	1.565	0.0044	Up
ARSA	O43681	1.563	0.019	Up
DTD1	Q8TEA8	1.563	0.0177	Up
CTSL	P07711	1.559	0.041	Up
THOC1	Q96FV9	1.553	0.0476	Up
DYNLL1	P63167	1.548	0.0435	Up
SNRPD3	P62318	1.547	0.0117	Up
TMEM123	Q8N131	1.545	0.0407	Up
PWP1	Q13610	1.538	0.0124	Up
SERPINB9	P50453	1.533	0.0151	Up
KRT6A	P02538	1.532	0.0375	Up
TCERG1	O14776	1.532	0.0142	Up
PPP1R9B	Q96SB3	1.523	0.0228	Up
GOLGB1	Q14789	1.522	0.00752	Up
RBM12	Q9NTZ6	1.516	0.0138	Up
MAT2A	P31153	1.515	0.00856	Up
HDGFL2	Q7Z4V5	1.512	0.0193	Up
FLNB	O75369	1.51	0.0075	Up
RNASET2	O00584	1.509	0.0487	Up
AGRN	O00468	1.499	0.025	Up
PPIL1	Q9Y3C6	1.496	0.0204	Up
GRN	P28799	1.495	0.0289	Up
RRP9	O43818	1.495	0.0245	Up
