Gen	UniProt ID	log2FC	FDR	Dirección
SLC25A11	Q02978	-3	0.00644	Down
CS	O75390	-3.006	0.00588	Down
OGN	P20774	-3.011	6.39e-4	Down
TRIM72	Q6ZMU5	-3.018	0.00341	Down
F5	P12259	-3.026	0.00684	Down
VPS13C	Q709C8	-3.031	0.00183	Down
NDUFS2	O75306	-3.051	3.3e-4	Down
COX4I1	P13073	-3.056	0.00275	Down
MYOM1	P52179	-3.056	0.00362	Down
NDUFB1	O75438	-3.067	0.00486	Down
ZG16B	Q96DA0	-3.074	0.00384	Down
LUM	P51884	-3.078	0.0044	Down
NDUFB4	O95168	-3.078	0.00177	Down
UQCRC2	P22695	-3.087	0.00407	Down
MYBPC1	Q00872	-3.104	0.0189	Down
NDUFS3	O75489	-3.11	2.72e-4	Down
ATP5PD	O75947	-3.149	0.00161	Down
MPZ	P25189	-3.151	0.00254	Down
ACTN2	P35609	-3.161	0.0131	Down
PDHA1	P08559	-3.171	0.00155	Down
SLC25A12	O75746	-3.182	0.00219	Down
ATP5F1C	P36542	-3.251	6.39e-4	Down
SDHC	Q99643	-3.256	0.00355	Down
UQCRC1	P31930	-3.276	0.00177	Down
UQCR10	Q9UDW1	-3.289	0.00256	Down
COQ9	O75208	-3.319	0.00155	Down
TNNC2	P02585	-3.329	0.0216	Down
AOC3	Q16853	-3.333	9.32e-4	Down
CD36	P16671	-3.352	0.00177	Down
SRL	Q86TD4	-3.368	0.0104	Down
TNNT1	P13805	-3.381	0.0406	Down
TNNC1	P19429	-3.409	0.0169	Down
SLC4A1	P02730	-3.414	0.00149	Down
GYG1	P46976	-3.431	0.0128	Down
MYBPC2	Q14324	-3.453	0.0197	Down
RTN2	O75298	-3.462	0.00647	Down
MB	P02144	-3.488	0.0169	Down
ATP5F1B	P06576	-3.51	0.00323	Down
EEF1A2	Q05639	-3.516	0.00715	Down
MYH4	Q9Y623	-3.553	0.0315	Down
ADH1B	P00325	-3.615	0.00818	Down
AK1	P00568	-3.617	0.00582	Down
AGR2	O95994	-3.636	0.0044	Down
CYC1	P08574	-3.647	2.72e-4	Down
TNNI1	P19237	-3.664	0.0195	Down
S100A1	P23297	-3.696	0.0142	Down
CKMT2	P17540	-3.729	0.0142	Down
ATP2A1	O14983	-3.756	0.00362	Down
PADI2	Q9Y2J8	-3.859	0.00275	Down
TCAP	O15273	-3.932	0.0192	Down
GPD1	P21695	-3.997	0.00177	Down
MYL1	P05976	-4	0.00412	Down
PYGM	P11217	-4.013	0.00219	Down
BPIFA1	Q9NP55	-4.167	0.0255	Down
LDB3	O75112	-4.268	0.0103	Down
CRYAB	P02511	-4.342	0.00174	Down
BPIFB1	Q8TDL5	-4.415	0.00256	Down
MYH7	P12883	-4.573	0.00397	Down
MYL3	P08590	-4.657	0.00256	Down
MYH2	Q9UKX2	-4.685	0.0035	Down
FHL1	Q13642	-4.701	0.00394	Down
SYPL2	Q5VXT5	-4.724	0.00221	Down
CASQ1	P31415	-4.84	0.00362	Down
MYL2	P10916	-4.907	0.00177	Down
HSPB6	O14558	-4.923	3.3e-4	Down
MYLPF	Q96A32	-5.291	9.32e-4	Down
SLC25A4	P12235	-5.99	3.23e-4	Down
